-12.25	0.001
-12.25	2.551
-10.75	2.551
-10.75	2.301
-11.25	1.801
-11.5	1.801
-11.5	2.551
-11.75	2.551
-11.75	0.801
-11.5	0.801
-11.5	1.551
-11.25	1.551
-10.75	1.051
-10.75	0.801
-10.5	0.801
-10.5	1.176
-11	1.676
-10.5	2.176
-10.5	2.551
-10.25	2.551
-10.25	0.801
-9	0.801
-9	1.051
-10	1.051
-10	1.551
-9.5	1.551
-9.5	1.801
-10	1.801
-10	2.301
-9	2.301
-9	2.551
-8.375	2.551
-8.375	2.301
-8.25	2.301
-8.25	1.051
-8.375	1.051
-8.375	0.801
-7.875	0.801
-7.875	1.051
-8	1.051
-8	2.301
-7.875	2.301
-7.875	2.551
-7.25	2.551
-7.25	2.301
-6.75	2.301
-6.75	0.801
-6.5	0.801
-6.5	2.301
-6	2.301
-6	2.551
-4.75	2.551
-4.75	1.801
-5.5	1.801
-5.5	2.551
-5.75	2.551
-5.75	0.801
-5.5	0.801
-5.5	1.551
-4.75	1.551
-4.75	0.801
-4.5	0.801
-4.5	2.551
-4.25	2.551
-4.25	0.801
-3	0.801
-3	1.051
-4	1.051
-4	2.551
-2.75	2.551
-2.75	0.801
-1.5	0.801
-1.5	1.051
-2.5	1.051
-2.5	1.551
-2	1.551
-2	1.801
-2.5	1.801
-2.5	2.301
-1.5	2.301
-1.5	2.551
-0.25	2.551
-0.25	2.301
-0.625	1.926
-1	2.301
-1	2.551
-1.25	2.551
-1.25	2.176
-0.75	1.676
-0.75	0.801
-0.5	0.801
-0.5	1.676
0	2.176
0	2.551
1.75	2.551
1.75	0.801
2	0.801
2	1.551
2.75	1.551
3	1.801
3	2.301
2.75	2.551
3.25	2.551
3.25	0.801
4.5	0.801
4.5	1.051
3.5	1.051
3.5	2.551
5	2.551
4.75	2.301
4.75	1.051
5	0.801
5.75	0.801
6	1.051
6	2.301
5.75	2.551
6.25	2.551
6.25	2.301
6.75	2.301
6.75	0.801
7	0.801
7	2.301
7.5	2.301
7.5	2.551
7.75	2.551
7.75	2.301
8.25	2.301
8.25	0.801
8.5	0.801
8.5	2.301
9	2.301
9	2.551
9.25	2.551
9.25	0.801
10.5	0.801
10.5	1.051
9.5	1.051
9.5	1.551
10	1.551
10	1.801
9.5	1.801
9.5	2.301
10.5	2.301
10.5	2.551
10.75	2.551
10.75	0.801
11	0.801
11	1.551
11.25	1.551
11.75	1.051
11.75	0.801
12	0.801
12	1.176
11.75	1.426
11.75	1.551
12	1.801
12	2.301
11.75	2.551
-12.25	2.551
-12.25	3.201
-6.328	3.201
-6.337	3.363
-6.292	3.773
-6.181	4.2
-6.004	4.643
-5.763	5.093
-5.458	5.549
-5.097	6.005
-4.68	6.458
-4.21	6.902
-3.694	7.334
-3.486	7.49
-2.41	7.49
-4.66	3.74
-0.16	3.74
-2.41	7.49
0.452	7.49
0.152	7.19
-0.085	7.19
-0.385	7.49
-0.792	7.49
-0.792	5.24
-0.342	5.24
-0.342	6.74
-0.298	6.74
0.033	6.408
0.365	6.74
0.408	6.74
0.408	5.24
0.86	5.24
0.86	7.49
2.103	7.49
1.76	7.146
1.76	5.583
2.103	5.24
3.066	5.24
3.41	5.583
3.41	7.146
3.066	7.49
4.31	7.49
4.31	5.24
5.466	5.24
5.96	5.733
5.96	6.996
5.466	7.49
-3.486	7.49
-3.138	7.749
-2.544	8.145
-1.918	8.516
-1.764	8.597
7.53	8.597
7.616	8.255
7.637	7.866
7.592	7.457
7.481	7.029
7.304	6.588
7.062	6.137
6.758	5.681
6.396	5.225
5.979	4.772
5.51	4.328
4.994	3.896
4.437	3.48
4.016	3.201
12.25	3.201
12.25	0.001
